Symptoms,Outcome,Weight
 TESTICULAR PAIN, VISITED A HEALTH CARE PROVIDER,1
 TESTICULAR PAIN, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 TESTICULAR PAIN, VISITED AN ER,1
 TESTICULAR PAIN,DISABILITY,1
 TESTICULAR PAIN, HOSPITALIZATION,1
 TESTICULAR PAIN, NON-SERIOUS INJURIES/ ILLNESS,1
 TESTICULAR DISORDER, VISITED A HEALTH CARE PROVIDER,1
 TESTICULAR DISORDER,VISITED AN ER,1
 TESTICULAR DISORDER, NON-SERIOUS INJURIES/ ILLNESS,1
 TERMINAL INSOMNIA, VISITED A HEALTH CARE PROVIDER,1
 TERMINAL INSOMNIA,DISABILITY,1
 TERMINAL INSOMNIA, LIFE THREATENING,1
 TERMINAL INSOMNIA, HOSPITALIZATION,1
 TENSION HEADACHE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 TENSION HEADACHE,SERIOUS INJURIES/ ILLNESS,1
 TENSION HEADACHE, VISITED AN ER,1
 TENSION HEADACHE,VISITED A HEALTH CARE PROVIDER,1
 TENSION HEADACHE, HOSPITALIZATION,1
 TENSION HEADACHE,HOSPITALIZATION,1
 TENSION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 TENSION, VISITED AN ER,1
 TENSION, LIFE THREATENING,1
 TENSION,DEATH,1
 TENDONITIS, VISITED A HEALTH CARE PROVIDER,1
 TENDONITIS,VISITED AN ER,1
 TENDONITIS,VISITED A HEALTH CARE PROVIDER,1
 TENDONITIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 TENDON PAIN, DISABILITY,1
 TENDON PAIN, VISITED AN ER,1
 TENDON PAIN,VISITED A HEALTH CARE PROVIDER,1
 TENDON PAIN,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 TENDON INJURY, VISITED AN ER,1
 TENDON INJURY,HOSPITALIZATION,1
 TENDON DISORDER,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 TENDON DISORDER, NON-SERIOUS INJURIES/ ILLNESS,1
 TENDON CALCIFICATION, VISITED AN ER,1
 TENDON CALCIFICATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 TENDINOUS CONTRACTURE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 TENDERNESS,DEATH,1
 TEMPOROMANDIBULAR JOINT SYNDROME, VISITED AN ER,1
 TEMPOROMANDIBULAR JOINT SYNDROME,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 TEMPOROMANDIBULAR JOINT SYNDROME, NON-SERIOUS INJURIES/ ILLNESS,1
 TEMPOROMANDIBULAR JOINT SYNDROME,HOSPITALIZATION,1
 TEMPORAL ARTERITIS,HOSPITALIZATION,1
 TEMPERATURE INTOLERANCE, VISITED AN ER,1
 TEMPERATURE INTOLERANCE,HOSPITALIZATION,1
 TELANGIECTASIA,NON-SERIOUS INJURIES/ ILLNESS,1
 TEETHING,VISITED A HEALTH CARE PROVIDER,1
 TACHYPNOEA,LIFE THREATENING,1
 TACHYPNOEA,NON-SERIOUS INJURIES/ ILLNESS,1
 TACHYPNOEA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 TACHYPHRENIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 TACHYPHRENIA,HOSPITALIZATION,1
 TACHYCARDIA,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SYSTOLIC HYPERTENSION, VISITED A HEALTH CARE PROVIDER,1
 SYSTOLIC HYPERTENSION,VISITED AN ER,1
 SYSTOLIC HYPERTENSION, NON-SERIOUS INJURIES/ ILLNESS,1
 SYSTEMIC LUPUS ERYTHEMATOSUS,SERIOUS INJURIES/ ILLNESS,1
 SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SYSTEMIC ANTIBACTERIAL THERAPY, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SYSTEMIC ANTIBACTERIAL THERAPY, VISITED A HEALTH CARE PROVIDER,1
 SYSTEMIC ANTIBACTERIAL THERAPY,HOSPITALIZATION,1
 SYNOVIAL CYST, HOSPITALIZATION,1
 SYNCOPE VASOVAGAL, VISITED AN ER,1
 SYNCOPE VASOVAGAL,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SWOLLEN TONGUE, DISABILITY,1
 SWOLLEN TONGUE,DEATH,1
 SWELLING FACE,NONE,1
 SWEAT GLAND DISORDER,VISITED AN ER,1
 SWEAT GLAND DISORDER,VISITED A HEALTH CARE PROVIDER,1
 SWEAT GLAND DISORDER, HOSPITALIZATION,1
 SUTURE INSERTION,CONGENITAL ANOMALY,1
 SUTURE INSERTION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SUTURE INSERTION,VISITED AN ER,1
 SUTURE INSERTION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SUTURE INSERTION, HOSPITALIZATION,1
 SUTURE INSERTION, NON-SERIOUS INJURIES/ ILLNESS,1
 SURGICAL VASCULAR SHUNT, VISITED A HEALTH CARE PROVIDER,1
 SURGICAL VASCULAR SHUNT, VISITED AN ER,1
 SURGICAL VASCULAR SHUNT,DEATH,1
 SURGICAL VASCULAR SHUNT, HOSPITALIZATION,1
 SURGERY,CONGENITAL ANOMALY,1
 SURGERY,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SUPRAVENTRICULAR TACHYCARDIA,LIFE THREATENING,1
 SUPRAVENTRICULAR EXTRASYSTOLES,NON-SERIOUS INJURIES/ ILLNESS,1
 SUPRAVENTRICULAR EXTRASYSTOLES, NON-SERIOUS INJURIES/ ILLNESS,1
 SUPERINFECTION,VISITED AN ER,1
 SUPERINFECTION, HOSPITALIZATION,1
 SUPERINFECTION, NON-SERIOUS INJURIES/ ILLNESS,1
 SUPERFICIAL INJURY OF EYE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SUPERFICIAL INJURY OF EYE,NON-SERIOUS INJURIES/ ILLNESS,1
 SUPERFICIAL INJURY OF EYE,VISITED A HEALTH CARE PROVIDER,1
 SUNBURN, VISITED A HEALTH CARE PROVIDER,1
 SUNBURN,VISITED AN ER,1
 SUICIDE ATTEMPT, SERIOUS INJURIES/ ILLNESS,1
 SUICIDE ATTEMPT, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SUICIDE ATTEMPT, VISITED A HEALTH CARE PROVIDER,1
 SUICIDE ATTEMPT,VISITED AN ER,1
 SUICIDE ATTEMPT,DISABILITY,1
 SUICIDE ATTEMPT, HOSPITALIZATION,1
 SUFFOCATION FEELING,LIFE THREATENING,1
 SUDDEN ONSET OF SLEEP,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SUDDEN INFANT DEATH SYNDROME, DEATH,1
 SUDDEN INFANT DEATH SYNDROME,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SUDDEN INFANT DEATH SYNDROME,DEATH,1
 SUDDEN HEARING LOSS, DISABILITY,1
 SUDDEN HEARING LOSS,VISITED A HEALTH CARE PROVIDER,1
 SUDDEN DEATH,VISITED AN ER,1
 SUDDEN DEATH, DEATH,1
 SUDDEN DEATH,VISITED A HEALTH CARE PROVIDER,1
 SUDDEN DEATH, LIFE THREATENING,1
 SUBDURAL HAEMATOMA, VISITED A HEALTH CARE PROVIDER,1
 SUBDURAL HAEMATOMA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SUBDURAL HAEMATOMA,LIFE THREATENING,1
 SUBDURAL HAEMATOMA, LIFE THREATENING,1
 SUBDURAL HAEMATOMA,HOSPITALIZATION,1
 SUBARACHNOID HAEMORRHAGE, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SUBARACHNOID HAEMORRHAGE,DEATH,1
 SUBARACHNOID HAEMORRHAGE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SUBARACHNOID HAEMORRHAGE,HOSPITALIZATION,1
 STUPOR,SERIOUS INJURIES/ ILLNESS,1
 STUPOR, HOSPITALIZATION,1
 STRONGYLOIDIASIS, SERIOUS INJURIES/ ILLNESS,1
 STRONGYLOIDIASIS, VISITED A HEALTH CARE PROVIDER,1
 STRONGYLOIDIASIS,DISABILITY,1
 STRIDOR, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 STRIDOR,VISITED AN ER,1
 STRIDOR, HOSPITALIZATION,1
 STRIDOR,HOSPITALIZATION,1
 STRESS SYMPTOMS,VISITED A HEALTH CARE PROVIDER,1
 STRESS SYMPTOMS,DEATH,1
 STRESS CARDIOMYOPATHY,HOSPITALIZATION,1
 STRESS,SERIOUS INJURIES/ ILLNESS,1
 STRESS, DEATH,1
 STRESS,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 STREPTOCOCCUS TEST POSITIVE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 STREPTOCOCCUS TEST POSITIVE, VISITED AN ER,1
 STREPTOCOCCUS TEST POSITIVE,DISABILITY,1
 STREPTOCOCCUS TEST POSITIVE, LIFE THREATENING,1
 STREPTOCOCCUS TEST POSITIVE, HOSPITALIZATION,1
 STREPTOCOCCUS TEST POSITIVE,HOSPITALIZATION,1
 STREPTOCOCCAL INFECTION,HOSPITALIZATION,1
 STRABISMUS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 STOOLS WATERY,HOSPITALIZATION,1
 STOMATITIS, DISABILITY,1
 STOMATITIS, LIFE THREATENING,1
 STOMATITIS,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 STOMATITIS, HOSPITALIZATION,1
 STOMACH DISCOMFORT,NONE,1
 STILLBIRTH,SERIOUS INJURIES/ ILLNESS,1
 STILLBIRTH, DEATH,1
 STILLBIRTH,VISITED A HEALTH CARE PROVIDER,1
 STILLBIRTH,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 STILLBIRTH, HOSPITALIZATION,1
 STEVENS-JOHNSON SYNDROME,NON-SERIOUS INJURIES/ ILLNESS,1
 STEROID THERAPY, SERIOUS INJURIES/ ILLNESS,1
 STEROID THERAPY, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 STEROID THERAPY, VISITED A HEALTH CARE PROVIDER,1
 STEROID THERAPY,DISABILITY,1
 STEROID THERAPY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 STENT PLACEMENT, SERIOUS INJURIES/ ILLNESS,1
 STENT PLACEMENT,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 STENT PLACEMENT,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 STENT PLACEMENT, HOSPITALIZATION,1
 STENOTROPHOMONAS INFECTION,VISITED A HEALTH CARE PROVIDER,1
 STEATORRHOEA,VISITED AN ER,1
 STEATORRHOEA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 STATUS EPILEPTICUS,CONGENITAL ANOMALY,1
 STATUS EPILEPTICUS, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 STATUS EPILEPTICUS, VISITED A HEALTH CARE PROVIDER,1
 STATUS EPILEPTICUS,VISITED AN ER,1
 STATUS EPILEPTICUS, DEATH,1
 STATUS EPILEPTICUS, LIFE THREATENING,1
 STATUS EPILEPTICUS,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 STATUS EPILEPTICUS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 STATUS EPILEPTICUS,HOSPITALIZATION,1
 STARING, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 STARING,VISITED AN ER,1
 STARING, LIFE THREATENING,1
 STAPHYLOCOCCUS TEST POSITIVE, DISABILITY,1
 STAPHYLOCOCCUS TEST POSITIVE,VISITED A HEALTH CARE PROVIDER,1
 STAPHYLOCOCCUS TEST POSITIVE, HOSPITALIZATION,1
 STAPHYLOCOCCUS TEST POSITIVE,HOSPITALIZATION,1
 STAPHYLOCOCCAL SKIN INFECTION,NON-SERIOUS INJURIES/ ILLNESS,1
 STAPHYLOCOCCAL SCALDED SKIN SYNDROME, VISITED A HEALTH CARE PROVIDER,1
 STAPHYLOCOCCAL SCALDED SKIN SYNDROME,VISITED AN ER,1
 STAPHYLOCOCCAL SCALDED SKIN SYNDROME,NON-SERIOUS INJURIES/ ILLNESS,1
 STAPHYLOCOCCAL SCALDED SKIN SYNDROME, HOSPITALIZATION,1
 STAPHYLOCOCCAL INFECTION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 STAPHYLOCOCCAL INFECTION,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 STAPHYLOCOCCAL INFECTION,DEATH,1
 STAG HORN CALCULUS, SERIOUS INJURIES/ ILLNESS,1
 STAG HORN CALCULUS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SQUAMOUS CELL CARCINOMA OF SKIN,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SQUAMOUS CELL CARCINOMA,VISITED A HEALTH CARE PROVIDER,1
 SQUAMOUS CELL CARCINOMA, HOSPITALIZATION,1
 SPUTUM DISCOLOURED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SPLINTER,VISITED AN ER,1
 SPLENOMEGALY, VISITED A HEALTH CARE PROVIDER,1
 SPLENOMEGALY, DEATH,1
 SPLEEN SCAN ABNORMAL, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SPLEEN SCAN ABNORMAL, VISITED AN ER,1
 SPLEEN SCAN ABNORMAL,DISABILITY,1
 SPLEEN SCAN ABNORMAL,VISITED A HEALTH CARE PROVIDER,1
 SPLEEN SCAN ABNORMAL, LIFE THREATENING,1
 SPLEEN SCAN ABNORMAL,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SPLEEN SCAN ABNORMAL, HOSPITALIZATION,1
 SPLEEN OPERATION, VISITED A HEALTH CARE PROVIDER,1
 SPLEEN OPERATION,DEATH,1
 SPLEEN DISORDER, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SPLEEN DISORDER,VISITED A HEALTH CARE PROVIDER,1
 SPIROMETRY ABNORMAL,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SPIROMETRY ABNORMAL, HOSPITALIZATION,1
 SPIROMETRY ABNORMAL,HOSPITALIZATION,1
 SPINAL OSTEOARTHRITIS, DISABILITY,1
 SPINAL OSTEOARTHRITIS,VISITED A HEALTH CARE PROVIDER,1
 SPINAL OSTEOARTHRITIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SPINAL OPERATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SPINAL FUSION SURGERY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SPINAL FRACTURE, VISITED AN ER,1
 SPINAL FRACTURE, LIFE THREATENING,1
 SPIDER VEIN,VISITED A HEALTH CARE PROVIDER,1
 SPEECH DISORDER DEVELOPMENTAL,VISITED A HEALTH CARE PROVIDER,1
 SPEECH DISORDER,NONE,1
 SOMNAMBULISM,VISITED AN ER,1
 SOMNAMBULISM, HOSPITALIZATION,1
 SOMATOSENSORY EVOKED POTENTIALS ABNORMAL,NON-SERIOUS INJURIES/ ILLNESS,1
 SOMATOFORM DISORDER,NON-SERIOUS INJURIES/ ILLNESS,1
 SOFT TISSUE MASS,VISITED AN ER,1
 SOFT TISSUE INJURY, VISITED AN ER,1
 SOFT TISSUE INJURY,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SOFT TISSUE INJURY,HOSPITALIZATION,1
 SOFT TISSUE HAEMORRHAGE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SOCIAL PROBLEM, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SOCIAL PROBLEM, VISITED A HEALTH CARE PROVIDER,1
 SOCIAL PROBLEM, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SOCIAL PROBLEM,SERIOUS INJURIES/ ILLNESS,1
 SOCIAL PHOBIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SOCIAL PHOBIA,DISABILITY,1
 SOCIAL PHOBIA, HOSPITALIZATION,1
 SOCIAL AVOIDANT BEHAVIOUR,VISITED A HEALTH CARE PROVIDER,1
 SOCIAL AVOIDANT BEHAVIOUR, NON-SERIOUS INJURIES/ ILLNESS,1
 SMOOTH MUSCLE ANTIBODY POSITIVE, NON-SERIOUS INJURIES/ ILLNESS,1
 SMALL INTESTINE ULCER,NON-SERIOUS INJURIES/ ILLNESS,1
 SMALL INTESTINAL STENOSIS, DISABILITY,1
 SMALL INTESTINAL STENOSIS,HOSPITALIZATION,1
 SMALL INTESTINAL RESECTION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SMALL INTESTINAL RESECTION,DISABILITY,1
 SMALL INTESTINAL RESECTION, HOSPITALIZATION,1
 SMALL INTESTINAL RESECTION,HOSPITALIZATION,1
 SMALL INTESTINAL PERFORATION,DISABILITY,1
 SMALL INTESTINAL PERFORATION, DEATH,1
 SMALL INTESTINAL PERFORATION, LIFE THREATENING,1
 SMALL INTESTINAL PERFORATION, HOSPITALIZATION,1
 SMALL INTESTINAL PERFORATION,HOSPITALIZATION,1
 SMALL INTESTINAL OBSTRUCTION, VISITED A HEALTH CARE PROVIDER,1
 SMALL INTESTINAL OBSTRUCTION,SERIOUS INJURIES/ ILLNESS,1
 SMALL INTESTINAL OBSTRUCTION,LIFE THREATENING,1
 SMALL INTESTINAL OBSTRUCTION,VISITED AN ER,1
 SMALL INTESTINAL OBSTRUCTION, VISITED AN ER,1
 SMALL INTESTINAL OBSTRUCTION, DEATH,1
 SMALL INTESTINAL OBSTRUCTION,VISITED A HEALTH CARE PROVIDER,1
 SMALL FOR DATES BABY, SERIOUS INJURIES/ ILLNESS,1
 SMALL FOR DATES BABY,SERIOUS INJURIES/ ILLNESS,1
 SMALL FOR DATES BABY, HOSPITALIZATION,1
 SLUGGISHNESS,HOSPITALIZATION,1
 SLOW RESPONSE TO STIMULI,LIFE THREATENING,1
 SLOW RESPONSE TO STIMULI,VISITED AN ER,1
 SLOW RESPONSE TO STIMULI, VISITED AN ER,1
 SLOW RESPONSE TO STIMULI, LIFE THREATENING,1
 SLOW RESPONSE TO STIMULI,HOSPITALIZATION,1
 SLIPPING RIB SYNDROME,VISITED A HEALTH CARE PROVIDER,1
 SLIPPING RIB SYNDROME, NON-SERIOUS INJURIES/ ILLNESS,1
 SLEEP WALKING,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SLEEP TERROR, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SLEEP TERROR, LIFE THREATENING,1
 SLEEP TERROR,HOSPITALIZATION,1
 SLEEP INERTIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SLEEP ATTACKS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SLEEP APNOEA SYNDROME, VISITED A HEALTH CARE PROVIDER,1
 SLEEP APNOEA SYNDROME,VISITED AN ER,1
 SKULL MALFORMATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SKULL MALFORMATION, HOSPITALIZATION,1
 SKIN WRINKLING, DISABILITY,1
 SKIN WRINKLING, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SKIN WARM,SERIOUS INJURIES/ ILLNESS,1
 SKIN WARM,VISITED AN ER,1
 SKIN ULCER, SERIOUS INJURIES/ ILLNESS,1
 SKIN ULCER, VISITED A HEALTH CARE PROVIDER,1
 SKIN ULCER,LIFE THREATENING,1
 SKIN ULCER,VISITED AN ER,1
 SKIN ULCER,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SKIN TURGOR DECREASED, VISITED AN ER,1
 SKIN TURGOR DECREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SKIN TURGOR DECREASED,HOSPITALIZATION,1
 SKIN TIGHTNESS, DISABILITY,1
 SKIN TIGHTNESS, SERIOUS INJURIES/ ILLNESS,1
 SKIN TIGHTNESS, NON-SERIOUS INJURIES/ ILLNESS,1
 SKIN TEST POSITIVE, VISITED A HEALTH CARE PROVIDER,1
 SKIN TEST POSITIVE,DISABILITY,1
 SKIN TEST POSITIVE,VISITED A HEALTH CARE PROVIDER,1
 SKIN TEST,VISITED AN ER,1
 SKIN TEST, LIFE THREATENING,1
 SKIN TEST, HOSPITALIZATION,1
 SKIN SWELLING, DISABILITY,1
 SKIN SWELLING,LIFE THREATENING,1
 SKIN SENSITISATION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SKIN SENSITISATION, VISITED A HEALTH CARE PROVIDER,1
 SKIN SENSITISATION,DISABILITY,1
 SKIN SENSITISATION,HOSPITALIZATION,1
 SKIN REACTION,HOSPITALIZATION,1
 SKIN PLAQUE, VISITED A HEALTH CARE PROVIDER,1
 SKIN PLAQUE,VISITED AN ER,1
 SKIN PLAQUE, HOSPITALIZATION,1
 SKIN PAPILLOMA,LIFE THREATENING,1
 SKIN PAPILLOMA, VISITED AN ER,1
 SKIN PAPILLOMA,HOSPITALIZATION,1
 SKIN ODOUR ABNORMAL, VISITED AN ER,1
 SKIN ODOUR ABNORMAL,DISABILITY,1
 SKIN ODOUR ABNORMAL, LIFE THREATENING,1
 SKIN ODOUR ABNORMAL, HOSPITALIZATION,1
 SKIN ODOUR ABNORMAL,HOSPITALIZATION,1
 SKIN NODULE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SKIN NODULE,VISITED A HEALTH CARE PROVIDER,1
 SKIN MASS, VISITED A HEALTH CARE PROVIDER,1
 SKIN MASS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SKIN MASS,VISITED AN ER,1
 SKIN MASS,HOSPITALIZATION,1
 SKIN LESION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SKIN LACERATION, SERIOUS INJURIES/ ILLNESS,1
 SKIN LACERATION, VISITED A HEALTH CARE PROVIDER,1
 SKIN LACERATION, LIFE THREATENING,1
 SKIN LACERATION,DEATH,1
 SKIN LACERATION,HOSPITALIZATION,1
 SKIN INJURY, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SKIN INJURY, VISITED A HEALTH CARE PROVIDER,1
 SKIN INJURY,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SKIN INJURY, HOSPITALIZATION,1
 SKIN INJURY,HOSPITALIZATION,1
 SKIN INFLAMMATION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SKIN INFLAMMATION, VISITED A HEALTH CARE PROVIDER,1
 SKIN INFLAMMATION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SKIN INFLAMMATION,VISITED AN ER,1
 SKIN INFLAMMATION, VISITED AN ER,1
 SKIN INFLAMMATION,NON-SERIOUS INJURIES/ ILLNESS,1
 SKIN INFECTION, DISABILITY,1
 SKIN INFECTION, SERIOUS INJURIES/ ILLNESS,1
 SKIN INFECTION,VISITED AN ER,1
 SKIN INFECTION,DISABILITY,1
 SKIN INDURATION,HOSPITALIZATION,1
 SKIN HYPOPIGMENTATION,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SKIN HYPERTROPHY, VISITED A HEALTH CARE PROVIDER,1
 SKIN HYPERTROPHY, VISITED AN ER,1
 SKIN HYPERTROPHY,DISABILITY,1
 SKIN HYPERTROPHY,VISITED A HEALTH CARE PROVIDER,1
 SKIN HYPERTROPHY, LIFE THREATENING,1
 SKIN HYPERTROPHY, NON-SERIOUS INJURIES/ ILLNESS,1
 SKIN HYPERPIGMENTATION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SKIN HYPERPIGMENTATION,DISABILITY,1
 SKIN HYPERPIGMENTATION,VISITED A HEALTH CARE PROVIDER,1
 SKIN HAEMORRHAGE, DISABILITY,1
 SKIN HAEMORRHAGE, VISITED A HEALTH CARE PROVIDER,1
 SKIN HAEMORRHAGE,LIFE THREATENING,1
 SKIN HAEMORRHAGE,VISITED AN ER,1
 SKIN HAEMORRHAGE, NON-SERIOUS INJURIES/ ILLNESS,1
 SKIN HAEMORRHAGE,HOSPITALIZATION,1
 SKIN GRAFT, DISABILITY,1
 SKIN GRAFT, VISITED A HEALTH CARE PROVIDER,1
 SKIN GRAFT,VISITED AN ER,1
 SKIN GRAFT,VISITED A HEALTH CARE PROVIDER,1
 SKIN GRAFT, HOSPITALIZATION,1
 SKIN FISSURES, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SKIN FISSURES, NON-SERIOUS INJURIES/ ILLNESS,1
 SKIN EXFOLIATION,LIFE THREATENING,1
 SKIN EXFOLIATION, LIFE THREATENING,1
 SKIN EXFOLIATION,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SKIN EROSION, VISITED A HEALTH CARE PROVIDER,1
 SKIN EROSION,VISITED AN ER,1
 SKIN EROSION, HOSPITALIZATION,1
 SKIN EROSION,HOSPITALIZATION,1
 SKIN DISORDER,SERIOUS INJURIES/ ILLNESS,1
 SKIN DISORDER,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SKIN DISCOMFORT, DISABILITY,1
 SKIN DISCOMFORT, VISITED A HEALTH CARE PROVIDER,1
 SKIN DISCOMFORT, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SKIN DISCOMFORT,VISITED AN ER,1
 SKIN DISCOMFORT,NON-SERIOUS INJURIES/ ILLNESS,1
 SKIN DISCOMFORT,VISITED A HEALTH CARE PROVIDER,1
 SKIN DEPIGMENTATION, VISITED A HEALTH CARE PROVIDER,1
 SKIN DEPIGMENTATION,VISITED AN ER,1
 SKIN DEPIGMENTATION,NON-SERIOUS INJURIES/ ILLNESS,1
 SKIN CHAPPED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SKIN CHAPPED,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SKIN CHAPPED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SKIN CANCER,HOSPITALIZATION,1
 SKIN BURNING SENSATION, SERIOUS INJURIES/ ILLNESS,1
 SKIN BURNING SENSATION,LIFE THREATENING,1
 SKIN BACTERIAL INFECTION,NON-SERIOUS INJURIES/ ILLNESS,1
 SKIN ATROPHY, DISABILITY,1
 SKELETAL INJURY, VISITED A HEALTH CARE PROVIDER,1
 SKELETAL INJURY,VISITED AN ER,1
 SKELETAL INJURY, LIFE THREATENING,1
 SJOGREN'S SYNDROME, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SJOGREN'S SYNDROME,VISITED A HEALTH CARE PROVIDER,1
 SJOGREN'S SYNDROME,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),1
 SINUSITIS, DISABILITY,1
 SINUSITIS, SERIOUS INJURIES/ ILLNESS,1
 SINUSITIS,SERIOUS INJURIES/ ILLNESS,1
 SINUSITIS,LIFE THREATENING,1
 SINUSITIS, DEATH,1
 SINUS RHYTHM,HOSPITALIZATION,1
 SINUS PAIN, VISITED A HEALTH CARE PROVIDER,1
 SINUS PAIN,VISITED AN ER,1
 SINUS PAIN,NON-SERIOUS INJURIES/ ILLNESS,1
 SINUS PAIN, HOSPITALIZATION,1
 SINUS OPERATION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,1
 SINUS OPERATION,VISITED A HEALTH CARE PROVIDER,1
 SINUS HEADACHE, VISITED A HEALTH CARE PROVIDER,1
 SINUS HEADACHE,VISITED AN ER,1
